Area,BuildStruc,BuildType,CompName,Decoration,Elevator,Floor,Focus,Orientation,Pubdate,Region1,Region2,Remarks,TotlePrice,Type,UnitPrice
93.64㎡,砖混结构,板楼,荻泾苑,其他,无,中楼层 (共6层),0,南 北,,宝山,顾村,,270,3室1厅1厨1卫,28834
71.91㎡,钢混结构,板楼,金地艺境(宝山),精装,有,高楼层 (共33层),2,南 北,,宝山,上大,,370,2室2厅1厨1卫,51454
38.87㎡,砖混结构,板楼,宝林七村,简装,无,高楼层 (共6层),3,南,,宝山,淞宝,,140,1室1厅1厨1卫,36018
91.75㎡,钢混结构,板楼,同盛嘉园,精装,有,中楼层 (共11层),53,南,,宝山,杨行,,350,2室2厅1厨1卫,38148
78.49㎡,钢混结构,板楼,馨佳园(韶山路245弄),精装,无,高楼层 (共6层),7,南 北,,宝山,顾村,,348,2室2厅1厨1卫,44337
44.82㎡,砖混结构,板楼,乾溪新村,简装,无,高楼层 (共6层),97,东 南,,宝山,大场镇,,165,1室1厅1厨1卫,36814
93.08㎡,钢混结构,板楼,新顾村大家园A区,精装,无,高楼层 (共6层),7,南,,宝山,顾村,,420,2室2厅1厨2卫,45123
42.89㎡,砖混结构,板楼,海江二村,简装,无,中楼层 (共6层),2,南,,宝山,淞宝,,175,1室1厅1厨1卫,40803
45.39㎡,砖混结构,板楼,淞南老五村,简装,无,高楼层 (共6层),4,南,,宝山,淞南,,200,2室1厅1厨1卫,44063
97.93㎡,钢混结构,板楼,万昇家园,精装,无,高楼层 (共6层),5,南,,宝山,月浦,,350,2室2厅1厨1卫,35740
40.07㎡,砖混结构,板楼,泗东新村,简装,无,高楼层 (共5层),12,南,,宝山,淞宝,,135,1室1厅1厨1卫,33692
47.95㎡,砖混结构,板楼,海滨六村,精装,无,高楼层 (共6层),5,南,,宝山,淞宝,,170,1室1厅1厨1卫,35454
34.44㎡,砖混结构,板楼,宝钢十一村,简装,无,低楼层 (共6层),6,南 北,,宝山,淞宝,,150,1室1厅1厨1卫,43555
57.9㎡,砖混结构,板楼,盛桥二村,精装,无,中楼层 (共5层),12,南,,宝山,月浦,,128,2室1厅1厨1卫,22108
