Area,CompName,Decoration,Elevator,Floor,Focus,Orientation,Pubdate,Region1,Region2,Remarks,TotlePrice,Type,UnitPrice
102㎡,宝景苑,精装,有,高楼层 (共11层),33,南,,宝山,淞南,,495,2室1厅1厨1卫,48530
,,,,,,,,,,,,,
52.17㎡,宝钢十一村,简装,无,中楼层 (共6层),8,南,,宝山,淞宝,,215,2室0厅1厨1卫,41212
,,,,,,,,,,,,,
90.87㎡,中环一号(二期),精装,有,中楼层 (共18层),41,南,,宝山,大华,,523,2室2厅1厨1卫,57555
,,,,,,,,,,,,,
29.5㎡,泰和路678弄,精装,无,高楼层 (共5层),38,南,,宝山,淞宝,,120,1室0厅1厨1卫,40678
,,,,,,,,,,,,,
65.53㎡,淞南小八村,精装,无,高楼层 (共6层),18,南,,宝山,淞南,,263,2室1厅1厨1卫,40135
,,,,,,,,,,,,,
61.6㎡,海江二村,简装,无,中楼层 (共6层),8,南,,宝山,淞宝,,235,2室1厅1厨1卫,38150
,,,,,,,,,,,,,
78.87㎡,长宏新苑,精装,无,中楼层 (共6层),29,南,,宝山,淞南,,385,2室1厅1厨1卫,48815
,,,,,,,,,,,,,
64.34㎡,海江二村,简装,无,低楼层 (共6层),8,南,,宝山,淞宝,,245,2室1厅1厨1卫,38079
,,,,,,,,,,,,,
43.16㎡,淞南大八村,简装,无,低楼层 (共6层),3,南,,宝山,淞南,,188,1室1厅1厨1卫,43559
,,,,,,,,,,,,,
65.28㎡,海滨二村(宝山),简装,无,中楼层 (共5层),14,南 北,,宝山,淞宝,,260,3室0厅1厨1卫,39829
,,,,,,,,,,,,,
67.03㎡,同泰北路401弄,简装,无,低楼层 (共6层),9,南,,宝山,淞宝,,260,2室1厅1厨1卫,38789
,,,,,,,,,,,,,
111.45㎡,惠阳苑,简装,无,中楼层 (共5层),12,南 北,,宝山,月浦,,285,3室2厅1厨1卫,25573
,,,,,,,,,,,,,
85.33㎡,菊泉新城(陆翔路698弄),精装,有,低楼层 (共14层),27,南 北,,宝山,顾村,,320,2室1厅1厨1卫,37502
,,,,,,,,,,,,,
44.15㎡,淞南六村,简装,无,高楼层 (共6层),14,南,,宝山,淞南,,176.8,1室1厅1厨1卫,40046
,,,,,,,,,,,,,
77.05㎡,文宝苑,毛坯,有,中楼层 (共11层),30,南,,宝山,顾村,,342,2室2厅1厨1卫,44387
,,,,,,,,,,,,,
88.64㎡,嘉骏香山苑,简装,无,高楼层 (共6层),27,南 北,,宝山,淞南,,490,4室2厅1厨2卫,55280
,,,,,,,,,,,,,
93.37㎡,中冶祥腾宝月花园,精装,有,中楼层 (共14层),8,南 北,,宝山,月浦,,300,3室2厅1厨1卫,32131
,,,,,,,,,,,,,
78.11㎡,馨佳园(菊泉街1398弄),毛坯,有,高楼层 (共24层),7,南,,宝山,顾村,,285,2室2厅1厨1卫,36488
,,,,,,,,,,,,,
67.23㎡,淞南七村,简装,无,高楼层 (共6层),56,南,,宝山,淞南,,258,2室1厅1厨1卫,38376
,,,,,,,,,,,,,
78.71㎡,环镇北路600弄,简装,无,低楼层 (共6层),7,南,,宝山,大场镇,,308,2室2厅1厨1卫,39131
,,,,,,,,,,,,,
44.9㎡,祁连一村,精装,无,高楼层 (共6层),92,南,,宝山,上大,,175,1室1厅1厨1卫,38976
,,,,,,,,,,,,,
72.34㎡,淞南七村,精装,无,高楼层 (共7层),79,南,,宝山,淞南,,265,2室1厅1厨1卫,36633
,,,,,,,,,,,,,
107.11㎡,海尚明城,精装,有,低楼层 (共18层),7,南,,宝山,杨行,,380,3室2厅1厨1卫,35478
,,,,,,,,,,,,,
51㎡,丰水宝邸(西苑),精装,有,中楼层 (共14层),26,南,,宝山,顾村,,225,1室1厅1厨1卫,44118
,,,,,,,,,,,,,
62.58㎡,锦龙苑,精装,无,高楼层 (共6层),25,南,,宝山,上大,,255,2室1厅1厨1卫,40748
,,,,,,,,,,,,,
87.85㎡,美兰湖中华园,精装,有,高楼层 (共6层),7,南,,宝山,罗店,,320,2室2厅1厨1卫,36426
,,,,,,,,,,,,,
54.18㎡,菊泉新城(陆翔路358弄),简装,无,高楼层 (共6层),54,南 北,,宝山,顾村,,212,1室1厅1厨1卫,39129
,,,,,,,,,,,,,
64.78㎡,祁连四村,简装,无,中楼层 (共6层),17,南,,宝山,上大,,268,1室2厅1厨1卫,41371
,,,,,,,,,,,,,
54㎡,乾溪新村,简装,无,中楼层 (共4层),3,南,,宝山,大场镇,,237,1室1厅1厨1卫,43889
,,,,,,,,,,,,,
82.92㎡,东南弄村公寓,简装,无,中楼层 (共6层),14,南,,宝山,罗店,,215,2室2厅1厨1卫,25929
,,,,,,,,,,,,,
47.46㎡,月浦五村,精装,无,中楼层 (共5层),2,南,,宝山,月浦,,160,2室1厅1厨1卫,33713
,,,,,,,,,,,,,
91.05㎡,罗溪花苑,简装,无,中楼层 (共5层),33,南,,宝山,罗店,,215,2室1厅1厨1卫,23614
,,,,,,,,,,,,,
92.46㎡,美兰湖岭域,精装,有,低楼层 (共6层),5,南,,宝山,罗店,,400,2室2厅1厨1卫,43262
,,,,,,,,,,,,,
40.07㎡,月浦五村,简装,无,高楼层 (共5层),1,南,,宝山,月浦,,125,1室1厅1厨1卫,31196
,,,,,,,,,,,,,
40.5㎡,泗东新村,毛坯,无,中楼层 (共5层),1,南,,宝山,淞宝,,142,1室1厅1厨1卫,35062
,,,,,,,,,,,,,
32.69㎡,宝钢四村,简装,无,中楼层 (共5层),0,南,,宝山,淞宝,,210,1室1厅1厨1卫,64240
,,,,,,,,,,,,,
113.93㎡,远景佳苑一期,简装,无,低楼层 (共6层),11,南,,宝山,大华,,650,3室2厅1厨2卫,57053
,,,,,,,,,,,,,
89.17㎡,南东路19号,精装,无,高楼层 (共6层),0,南,,宝山,罗店,,260,2室2厅1厨1卫,29158
,,,,,,,,,,,,,
54.17㎡,月浦八村,其他,无,高楼层 (共6层),4,南,,宝山,月浦,,175,2室1厅1厨1卫,32306
,,,,,,,,,,,,,
66.27㎡,宝沁苑,精装,有,中楼层 (共18层),0,南,,宝山,顾村,,270,1室1厅1厨1卫,40743
,,,,,,,,,,,,,
56.07㎡,月浦十村,简装,无,高楼层 (共6层),1,南,,宝山,月浦,,170,2室1厅1厨1卫,30320
,,,,,,,,,,,,,
74.35㎡,信达郡庭,其他,无,高楼层 (共4层),2,西,,宝山,罗店,,450,4室2厅1厨2卫,60525
,,,,,,,,,,,,,
38.87㎡,庆安一村,简装,无,高楼层 (共6层),4,南,,宝山,月浦,,140,1室1厅1厨1卫,36018
,,,,,,,,,,,,,
57.61㎡,菊泉新城(陆翔路698弄),精装,有,低楼层 (共11层),2,南,,宝山,顾村,,230,1室2厅1厨1卫,39924
,,,,,,,,,,,,,
52.91㎡,共康八村,简装,无,高楼层 (共6层),0,南,,宝山,共康,,220,1室1厅1厨1卫,41581
,,,,,,,,,,,,,
84.05㎡,美兰湖颐景园,精装,无,中楼层 (共5层),5,南 北,,宝山,罗店,,294,2室1厅1厨1卫,34980
,,,,,,,,,,,,,
67.5㎡,罗太路449弄,简装,无,高楼层 (共6层),6,南,,宝山,罗店,,168,2室1厅1厨1卫,24889
,,,,,,,,,,,,,
17.7㎡,泗塘一村,其他,无,中楼层 (共4层),0,南,,宝山,张庙,,125,1室1厅1厨1卫,70622
,,,,,,,,,,,,,
54.95㎡,海滨新村,简装,无,高楼层 (共6层),5,南 北,,宝山,淞宝,,193,2室1厅1厨1卫,35123
,,,,,,,,,,,,,
102㎡,宝景苑,精装,有,中楼层 (共11层),16,南 北,,宝山,淞南,,510,2室2厅1厨1卫,50000
,,,,,,,,,,,,,
61.63㎡,春雷路354弄,简装,无,高楼层 (共6层),10,南,,宝山,月浦,,204,2室1厅1厨1卫,33101
,,,,,,,,,,,,,
69.11㎡,庆安一村,简装,无,高楼层 (共6层),39,南 北,,宝山,月浦,,210,3室1厅1厨1卫,30387
,,,,,,,,,,,,,
43.39㎡,永清二村,毛坯,无,中楼层 (共6层),9,南,,宝山,淞宝,,168,1室1厅1厨1卫,38719
,,,,,,,,,,,,,
109㎡,保利叶之林(二期),精装,有,低楼层 (共14层),29,南 北,,宝山,上大,,530,2室2厅1厨2卫,48624
,,,,,,,,,,,,,
55.5㎡,海滨四村,简装,无,中楼层 (共6层),14,南 北,,宝山,淞宝,,205,2室1厅1厨1卫,36937
,,,,,,,,,,,,,
55.42㎡,乐业五村,精装,无,中楼层 (共6层),27,南,,宝山,月浦,,185,2室1厅1厨1卫,33382
,,,,,,,,,,,,,
78.88㎡,长宏新苑,精装,无,低楼层 (共6层),18,南,,宝山,淞南,,380,2室1厅1厨1卫,48175
,,,,,,,,,,,,,
113.78㎡,圣卡洛铂庭,精装,有,中楼层 (共12层),0,南 北,,宝山,顾村,,448,3室2厅1厨1卫,39375
,,,,,,,,,,,,,
74.18㎡,乐业五村,简装,无,高楼层 (共6层),24,南 北,,宝山,月浦,,225,2室2厅1厨1卫,30332
,,,,,,,,,,,,,
112.09㎡,学林苑,简装,有,低楼层 (共11层),8,南,,宝山,上大,,480,2室2厅1厨1卫,42823
,,,,,,,,,,,,,
85.41㎡,当代高邸,简装,无,高楼层 (共6层),11,南,,宝山,上大,,429,2室2厅1厨1卫,50229
,,,,,,,,,,,,,
51.88㎡,共康六村,简装,无,中楼层 (共6层),5,南,,宝山,共康,,255,1室1厅1厨1卫,49152
,,,,,,,,,,,,,
96㎡,旭辉澜悦湾,精装,有,高楼层 (共18层),19,南 北,,宝山,罗泾,,225,3室1厅1厨1卫,23438
,,,,,,,,,,,,,
87.95㎡,三湘海尚城(公寓),精装,有,低楼层 (共18层),10,南,,宝山,淞南,,560,2室2厅1厨1卫,63673
,,,,,,,,,,,,,
39.81㎡,长江路28弄,精装,无,高楼层 (共6层),5,南,,宝山,淞南,,145,1室1厅1厨1卫,36424
,,,,,,,,,,,,,
89.4㎡,泰和新城(泰和西路3463弄),简装,无,中楼层 (共6层),63,南 北,,宝山,顾村,,265,2室2厅1厨1卫,29643
,,,,,,,,,,,,,
126.65㎡,旭辉澜悦湾,精装,有,高楼层 (共18层),21,南,,宝山,罗泾,,310,3室2厅1厨2卫,24477
,,,,,,,,,,,,,
56.6㎡,海滨八村,简装,无,高楼层 (共6层),7,南,,宝山,淞宝,,212,2室1厅1厨1卫,37456
,,,,,,,,,,,,,
48.29㎡,大华二村,简装,无,高楼层 (共6层),1,南,,宝山,大华,,225,1室1厅1厨1卫,46594
,,,,,,,,,,,,,
70.69㎡,丰水宝邸(东苑),精装,有,中楼层 (共6层),66,南,,宝山,顾村,,260,2室2厅1厨1卫,36781
,,,,,,,,,,,,,
76.76㎡,馨佳园(菊泉街1346弄),毛坯,有,低楼层 (共24层),23,南,,宝山,顾村,,275,2室2厅1厨1卫,35826
,,,,,,,,,,,,,
99㎡,万科琥珀郡园,精装,有,低楼层 (共8层),17,南,,宝山,罗店,,420,3室2厅1厨1卫,42425
,,,,,,,,,,,,,
97.97㎡,新城尚景,精装,有,低楼层 (共16层),17,南 北,,宝山,淞南,,480,2室2厅1厨2卫,48995
,,,,,,,,,,,,,
117.82㎡,经纬学府涵青花园(二期),毛坯,有,中楼层 (共17层),46,南 北,,宝山,上大,,555,3室2厅1厨1卫,47106
,,,,,,,,,,,,,
54.95㎡,淞南九村,毛坯,无,高楼层 (共6层),10,南,,宝山,淞南,,223,2室1厅1厨1卫,40583
,,,,,,,,,,,,,
